N,directa_ms,fft_ms,speedup
256,0.6476759999998194,0.030965000007654453,20.916389466808198
512,1.3850750000017342,0.042293000007020964,32.74950936967822
1024,2.8792399999986173,0.07440000001679437,38.69946235683716
2048,5.88709000001586,0.15567899998814028,37.81556921912616
4096,13.4461270000088,0.2873939999972208,46.786387329376495
